ID|NETWORK|CATEGORY|NAME|RATE_USD|MIN|MAX|REFILL|CANCEL|DRIP|EXTERNAL_ID|DESCRIPTION
2789|RUTUBE|👨‍👩‍👧‍👦 Подписчики / Участники|Rutube Подписчики [Быстрый старт] [Россия🇷🇺]|83.2000|10|50000|false|false|true|2789|
2366|SPOTIFY|❤️ Лайки / Нравится|Spotify Сохранения [Трек/Альбом] [Гарантия 30 дней]|25.7067|100|1000000|false|false|true|2366|
2373|SPOTIFY|🎵 Прослушивания (Music)|Spotify Базовое комбо [10к Прослушиваний+1к Сохранений+1к Подписчиков] [Гарантия]|1050.4698|1000|1000|false|false|true|2373|
2372|SPOTIFY|🎵 Прослушивания (Music)|Spotify Базовое комбо [3к Прослушиваний + 300 Сохранений + 300 Подписчиков] [Гарантия]|349.3776|1000|1000|false|false|true|2372|
2365|SPOTIFY|🎵 Прослушивания (Music)|Spotify Ежемесячные слушатели [Микс] [До 10к/День]|161.3721|500|50000|false|false|true|2365|
2368|SPOTIFY|🎵 Прослушивания (Music)|Spotify Прослушивания [Медленные] [До 200/День] [Гарантия]|28.0437|1000|10000|false|false|true|2368|
2367|SPOTIFY|🎵 Прослушивания (Music)|Spotify Прослушивания [Микс] [До 50к/День] [Гарантия]|19.8643|500|20000000|false|false|true|2367|
2364|SPOTIFY|🎵 Прослушивания (Music)|🇪🇺 Spotify Прослушивания [Европа] [До 50к/День] [Пожизненная гарантия]|19.8643|500|20000000|false|false|true|2364|
2363|SPOTIFY|🎵 Прослушивания (Music)|🇺🇸 Spotify Прослушивания [США] [До 50к/День] [Пожизненная гарантия]|19.8643|500|20000000|false|false|true|2363|
2371|SPOTIFY|👨‍👩‍👧‍👦 Подписчики / Участники|Spotify Подписчики [Микс] [Артисты/Плейлист/Пользователь] [30 Дней Гарантии]|18.6958|100|1000000|false|false|true|2371|
2370|SPOTIFY|👨‍👩‍👧‍👦 Подписчики / Участники|Spotify Подписчики [Микс] [Артисты/Плейлист/Пользователь] [Без Гарантии]|16.3588|100|1000000|false|false|true|2370|
2692|STEAM|❤️ Лайки / Нравится|Steam Лайки|1168.4870|5|501|false|false|true|2692|
2694|STEAM|👁 Просмотры / Охват|Steam Просмотры|1168.4870|5|501|false|false|true|2694|
2689|STEAM|💬 Комментарии / Отзывы|Steam Комментарии [+Rep]|1460.6087|5|10001|false|false|true|2689|
2690|STEAM|💬 Комментарии / Отзывы|Steam Комментарии [-Rep]|1460.6087|5|10001|false|false|true|2690|
2691|STEAM|💬 Комментарии / Отзывы|Steam Комментарии [Случайные]|1460.6087|5|10001|false|false|true|2691|
2693|STEAM|📦 Другое / Разное|Steam Избранное|1168.4870|5|501|false|false|true|2693|
2281|TELEGRAM|⭐ Звезды (Telegram Stars)|Telegram Звезды на пост|1773.0848|1|10000|false|false|true|2281|
2107|TELEGRAM|⭐ Звезды (Telegram Stars)|Telegram Звезды на профиль|1673.1226|50|50000|false|false|true|2107|
3100|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Premium Реакции + Бесплатные просмотры [Добавление существующих]|1.9864|10|1000000|false|false|true|3100|
3101|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Premium Реакции + Бесплатные просмотры [Случайные]|1.9864|10|1000000|false|false|true|3101|
